ano,cor_raca,grupo_idade,id_municipio,populacao,tipo_ligacao_rede_geral
2022,Branca,0 a 4 anos,4318457,3,Não possui ligação com a rede geral
2022,Amarela,0 a 4 anos,5004502,3,Não possui ligação com a rede geral
2022,Parda,0 a 4 anos,4120705,6,Não possui ligação com a rede geral
2022,Indígena,0 a 4 anos,2932507,9,Possui ligação à rede geral e a utiliza como forma principal
2022,Branca,0 a 4 anos,4211603,6,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
2022,Parda,0 a 4 anos,2511905,8,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
2022,Parda,0 a 4 anos,4300901,2,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
2022,Branca,0 a 4 anos,4211603,8,Não possui ligação com a rede geral - Poço profundo ou artesiano
2022,Preta,0 a 4 anos,2512408,1,Não possui ligação com a rede geral - Poço profundo ou artesiano
2022,Preta,0 a 4 anos,3534708,3,Não possui ligação com a rede geral - Poço profundo ou artesiano
2022,Branca,0 a 4 anos,2512408,7,"Possui ligação à rede geral, mas utiliza principalmente outra forma"
2022,Preta,0 a 4 anos,2921500,1,"Possui ligação à rede geral, mas utiliza principalmente outra forma"
2022,Preta,0 a 4 anos,2511905,3,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
2022,Branca,0 a 4 anos,2511905,1,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa"
2022,Parda,0 a 4 anos,3534708,1,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba"
2022,Branca,0 a 4 anos,2932507,1,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés"
2022,Parda,0 a 4 anos,2802601,1,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés"
2022,Amarela,15 a 19 anos,4120705,2,Possui ligação à rede geral e a utiliza como forma principal
2022,Indígena,15 a 19 anos,2802601,1,Possui ligação à rede geral e a utiliza como forma principal
2022,Branca,15 a 19 anos,2905701,5,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
2022,Indígena,15 a 19 anos,5004502,9,"Possui ligação à rede geral, mas utiliza principalmente outra forma"
2022,Parda,15 a 19 anos,3522703,7,"Possui ligação à rede geral, mas utiliza principalmente outra forma"
2022,Parda,15 a 19 anos,2921500,1,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
2022,Preta,15 a 19 anos,2923902,2,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
2022,Branca,15 a 19 anos,4318457,1,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
2022,Branca,15 a 19 anos,4120705,3,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
2022,Parda,15 a 19 anos,2923902,2,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
2022,Preta,15 a 19 anos,4309753,1,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
2022,Parda,15 a 19 anos,2905701,4,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa"
2022,Preta,15 a 19 anos,2601904,1,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano"
2022,Parda,15 a 19 anos,3522703,3,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano"
2022,Parda,15 a 19 anos,4108809,6,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano"
2022,Preta,15 a 19 anos,2511905,1,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba"
2022,Parda,15 a 19 anos,3161106,6,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba"
2022,Parda,15 a 19 anos,2601904,2,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba"
2022,Branca,15 a 19 anos,2932507,4,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba"
2022,Indígena,15 a 19 anos,2923902,3,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés"
2022,Parda,20 a 24 anos,4120705,6,Não possui ligação com a rede geral
2022,Indígena,20 a 24 anos,2921500,2,Possui ligação à rede geral e a utiliza como forma principal
2022,Amarela,20 a 24 anos,4211603,1,Possui ligação à rede geral e a utiliza como forma principal
2022,Indígena,20 a 24 anos,2923902,6,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
2022,Parda,20 a 24 anos,4311809,2,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
2022,Branca,20 a 24 anos,2511905,1,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
2022,Parda,20 a 24 anos,2907202,3,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
2022,Branca,20 a 24 anos,3161106,1,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
2022,Parda,20 a 24 anos,4313102,2,Não possui ligação com a rede geral - Poço profundo ou artesiano
2022,Parda,20 a 24 anos,4120705,1,Não possui ligação com a rede geral - Poço profundo ou artesiano
2022,Parda,20 a 24 anos,2921500,9,Não possui ligação com a rede geral - Poço profundo ou artesiano
2022,Parda,20 a 24 anos,2802601,5,"Possui ligação à rede geral, mas utiliza principalmente outra forma"
2022,Amarela,20 a 24 anos,3161106,1,"Possui ligação à rede geral, mas utiliza principalmente outra forma"
2022,Preta,20 a 24 anos,4309753,1,"Possui ligação à rede geral, mas utiliza principalmente outra forma"
2022,Indígena,20 a 24 anos,2923902,1,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
